t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,22.2189,13.7984,63.9827,8.56143,2.64098,0.147935,12128248,36913,36912,1.00692,0.404721,44407.7,765892,2849246,2.17604,50.9941,484625,44407.7,3475353,0.0780106,2,547390,217258,10966.5,1654,569052,0.396897,2.17604,0.961933,0,latest,5,0,98817630,0,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,14.4464,9.71619,75.8374,42.1452,2.27223,0.175102,330200,35874,35875,1.00708,0.890165,1063.99,1716996,72611,100.011,29.1029,4042,1056.58,0,1064,1832523,169014,12496,91.9626,15.396,54955.4,0.0739345,100.011,3.07547,0,latest,68196,2117141,0,765365,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,14.3699,12.3872,73.2429,36.7355,1.64124,0.208403,33437,7355,7354,0.850669,0.464988,144.007,2634520,7097,117.56,31.1206,627,144.101,0,157.535,2318621,167921,11308.8,60.334,12.8163,50931.6,0.0673457,117.56,3.297,0,latest,10097,2322538,0,744458,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,13.9695,9.33601,76.6945,43.9897,1.55996,0.185232,35459,8395,8396,0.83273,0.299449,131.276,2630256,8038,117.358,27.2391,371,131.105,0,134.662,2352939,166303,10457.4,59.717,12.0338,50070.8,0.0628817,117.358,3.32135,0,latest,8635,1732261,0,683833,0,0,0
4,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.0043,8.32091,75.6748,42.6517,2.23759,0.234146,50124,10454,10454,0.909048,0.495201,137.735,2831516,10851,117.893,27.6637,458,137.689,0,130.356,2298562,170840,10701,59.4631,12.0111,51582.1,0.0626374,117.893,3.312,0,latest,8354,1808291,0,740738,0,0,0
5,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,15.7525,8.48456,75.7629,44.4171,1.58343,0.226972,54087,11738,11738,1.00551,0.958301,126.736,2861697,11921,117.782,26.1744,324,126.674,0,117.281,2468844,159164,10529,58.4682,12.2717,47937.3,0.0661516,117.782,3.32025,0,latest,7514,2212212,0,656980,0,0,0
6,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.101,9.65026,74.2487,41.2365,1.85991,0.246773,36342,8475,8475,1.00708,0.971676,112.179,2872800,8096,117.759,27.6185,347,112.148,0,112.086,2308250,170227,9710.93,60.4376,11.0398,51238.2,0.057047,117.759,3.32226,0,latest,7184,1229628,0,634890,0,0,0
7,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,18.1684,9.01135,72.8203,40.3294,1.79478,0.28298,41081,8646,8646,1.00692,1.09898,111.976,2642222,8781,117.866,27.0561,407,111.961,0,111.976,2338865,168098,11264,59.1561,13.0701,50613.4,0.0670087,117.866,3.32122,0,latest,7178,2426468,0,773984,0,0,0
8,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.4042,9.63508,73.9607,41.2126,1.76909,0.232843,38927,8828,8828,1.00708,1.15484,108.7,2663570,8220,117.907,27.1137,371,108.669,0,108.716,2428485,162030,11363.5,58.9858,13.2224,48757.2,0.070132,117.907,3.3232,0,latest,6967,2697561,0,788961,0,0,0
9,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,14.4824,9.8389,75.6787,41.2379,1.68015,0.234703,32526,7992,7992,1.00708,1.1561,102.319,2886173,7352,118.388,28.925,324,102.287,0,102.303,2425190,162908,11316.5,59.0938,13.0285,49026.4,0.0694654,118.388,3.32287,0,latest,6557,2608252,0,814014,0,0,0
10,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.5687,9.44714,73.9842,40.1019,1.909,0.235822,30978,7598,7598,1.00708,1.124,99.9627,2893719,6967,118.326,28.1946,272,99.9315,0,99.9783,2375025,166181,10905.3,58.3194,12.4178,50032.9,0.0656229,118.326,3.32143,0,latest,6408,2220465,0,625070,0,0,0
11,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.5331,9.38682,74.0801,40.8714,2.22364,0.37701,37111,8319,8319,1.00692,1.2022,104.597,2879032,7929,118.136,27.6252,305,104.534,0,104.597,2483118,158727,10727.4,58.4736,12.6263,47774.6,0.0675838,118.136,3.32242,0,latest,6704,2474466,0,680037,0,0,0
12,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,21.2249,9.15789,69.6173,36.9665,1.82044,0.227867,35461,8246,8246,1.00708,1.25256,102.459,2654854,7725,118.199,27.4205,320,102.459,0,102.459,2353379,167593,11351.4,59.4439,12.806,50440,0.0677319,118.199,3.32263,0,latest,6567,2382369,0,755932,0,0,0
13,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.0445,10.3135,73.642,39.6449,1.68095,0.251514,34536,8107,8107,1.00708,1.25083,101.008,2673885,7286,118.21,28.2136,341,100.977,0,101.008,2414230,163447,11337.1,59.5107,12.9563,49208.3,0.0693623,118.21,3.32153,0,latest,6474,2647862,0,787805,0,0,0
14,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.6744,10.0859,73.2397,40.3033,1.51507,0.222396,32019,7979,7979,1.00708,1.19984,104.706,2673961,7107,118.208,27.4222,418,104.69,0,104.706,2258559,174774,11528,61.0242,13.014,52710.6,0.0659597,118.208,3.31573,0,latest,6711,2201487,0,761553,0,0,0
15,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,19.5981,9.4724,70.9295,38.4753,1.59607,0.200117,35548,8466,8466,1.00708,1.16318,109.589,2690408,7588,118.02,27.02,436,109.589,0,109.589,2193417,180074,10066.2,60.4727,11.5513,54210,0.0559002,118.02,3.32179,0,latest,7024,1134028,0,677835,0,0,0
16,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,18.8129,9.65835,71.5288,38.6015,1.95892,0.29065,36675,8765,8765,1.00708,1.17907,109.995,2914734,7955,117.932,27.3961,412,109.995,0,109.995,2303953,171130,10130,58.7667,11.5798,51540.7,0.0591945,117.932,3.3203,0,latest,7050,1453042,0,604482,0,0,0
17,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,15.6944,9.9559,74.3497,38.9817,1.82096,0.263137,36420,8267,8267,1.00708,1.17514,109.761,3036867,7795,117.888,29.915,477,109.745,0,109.761,2393455,164684,10431.9,58.8257,11.9605,49596.9,0.0633448,117.888,3.32046,0,latest,7035,1808430,0,696381,0,0,0
18,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,16.5767,10.0887,73.3346,39.67,1.47449,0.194256,35921,8616,8616,1.00708,1.17089,108.809,2901207,7740,118.1,28.069,383,108.778,0,108.809,2326601,169797,10792.1,59.3723,12.2119,51120.6,0.0635586,118.1,3.3215,0,latest,6974,1881037,0,753794,0,0,0
19,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0297,14.5412,9.05069,76.4081,43.4253,1.77563,0.21255,35489,8343,8343,1.00708,1.18363,109.62,2857820,7894,118.109,27.6721,459,109.62,0,109.62,2407178,164095,10671.4,58.7884,12.1623,49412.4,0.0650321,118.109,3.32092,0,latest,7026,2065193,0,739364,0,0,0
0,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,22.365,14.3275,63.3075,9.49833,1.91415,0.132278,12002407,36063,36061,1.00692,0.311251,44409.3,921956,2848786,2.05128,49.3663,450198,44409.3,3475463,0.0156021,2,405762,169390,7943.5,1269,375614,0.417463,2.05128,1.08026,0,latest,2,0,98953778,0,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,13.9782,9.06683,76.955,39.9033,1.68136,0.16095,239462,22242,22244,1.00708,0.63037,780.308,2065748,52944,102.894,32.3202,3673,776.845,0,780.34,4289472,77101.3,6677.55,51.1444,11.8858,24175.3,0.0866075,102.894,3.18926,0,latest,50014,2343266,0,1161620,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.63037,0,2799887,0,119.911,0,0,0,0,0,4712211,85745.6,6711.47,42.173,11.157,25665.4,0.0782719,119.911,3.34091,0,latest,0,2593387,0,1416180,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.63037,0,2803322,0,119.924,0,0,0,0,0,4708479,85846.1,6723.67,42.2512,11.1475,25676.8,0.0783223,119.924,3.34333,0,latest,0,2586706,0,1440011,0,0,0
4,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.63037,0,2802501,0,119.907,0,0,0,0,0,4720236,85575.4,6709.78,42.2016,11.1569,25596,0.0784079,119.907,3.34331,0,latest,0,2605554,0,1427632,0,0,0
5,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,20.0435,8.77701,71.1795,37.5207,2.23024,0.294413,35906,7022,7022,1.00692,0.777026,100.54,2678973,7885,117.865,28.4922,381,100.556,0,100.54,4783450,82417.5,6663.79,43.0425,11.2848,24747.1,0.0808541,117.865,3.3304,0,latest,6444,2739563,0,1391941,0,0,0
6,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,72.6835,3.35789,23.9586,15.4293,0.467555,0.198356,684,180,180,1.00708,0.759559,1.09215,2780123,121,119.902,7.01332,1,1.09215,0,1.09215,4412387,91289,7869.54,46.1514,12.63,27364.9,0.0862047,119.902,3.33598,0,latest,70,4044020,0,1655501,0,0,0
7,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.759559,0,2795362,0,119.927,0,0,0,0,0,4251877,94938.3,7986.72,46.5362,12.6746,28398.4,0.0841253,119.927,3.34309,0,latest,0,3844956,0,1683820,0,0,0
8,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.759559,0,2797204,0,119.914,0,0,0,0,0,4261022,94755.7,7973.13,46.4043,12.6606,28344.4,0.0841441,119.914,3.34301,0,latest,0,3834949,0,1691578,0,0,0
9,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.759559,0,2795930,0,119.918,0,0,0,0,0,4268241,94601.6,7970.34,46.5557,12.6676,28300.7,0.0842517,119.918,3.34272,0,latest,0,3847142,0,1686996,0,0,0
10,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,14.5851,9.8151,75.5998,41.2734,1.57086,0.238575,32514,6872,6872,1.00708,0.801888,98.9954,2699122,7248,117.968,28.9592,353,99.0266,0,98.9954,4552886,86671.5,7615.2,46.3431,12.446,26080.2,0.0878628,117.968,3.32326,0,latest,6345,3966385,0,1589047,0,0,0
11,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,95.1186,1.57198,3.30943,1.79261,0.110314,0.0275786,44,9,9,1.00708,0.8,0.0624084,2792469,7,119.901,1.32377,0,0.0624084,0,0.0624084,4547162,88787.3,7223.44,43.8881,11.5988,26563.3,0.0813566,119.901,3.34248,0,latest,4,3096866,0,1552168,0,0,0
12,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.8,0,2799370,0,119.913,0,0,0,0,0,4536354,89031.6,7240.59,43.8938,11.5982,26625.6,0.081326,119.913,3.34383,0,latest,0,3083465,0,1573434,0,0,0
13,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.8,0,2800248,0,119.921,0,0,0,0,0,4511722,89490.6,7266.19,43.9554,11.6179,26777.5,0.081195,119.921,3.342,0,latest,0,3086446,0,1576803,0,0,0
14,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.8,0,2800291,0,119.922,0,0,0,0,0,4528992,89143.5,7236.79,43.8349,11.5839,26684.5,0.0811814,119.922,3.34065,0,latest,0,3068956,0,1573821,0,0,0
15,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,14.5194,9.91442,75.5662,40.4368,1.64961,0.283887,34261,7066,7066,1.00708,0.857592,107.514,2692448,7845,117.738,29.7983,394,107.452,0,107.514,4767363,82647.3,7053.7,44.3002,11.6435,24868.3,0.0853471,117.738,3.3234,0,latest,6891,3350225,0,1474176,0,0,0
16,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,92.7326,2.72809,4.53936,2.16905,0.581395,0.111807,105,28,28,1.00708,0.859481,0.0780106,2781646,24,119.923,2.07961,0,0.0780106,0,0.0780106,4268028,94601,7580.18,44.904,11.9945,28297.3,0.0801279,119.923,3.34312,0,latest,5,3150924,0,1608855,0,0,0
17,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.859481,0,2791852,0,119.913,0,0,0,0,0,4266697,94607.8,7581.83,44.8632,11.9877,28309.1,0.0801396,119.913,3.34196,0,latest,0,3164960,0,1602323,0,0,0
18,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.859481,0,2793615,0,119.907,0,0,0,0,0,4270674,94521.2,7586.72,44.8561,11.996,28295,0.0802647,119.907,3.34056,0,latest,0,3168439,0,1621122,0,0,0
19,120,1,1,4,6,10,50,0.75,0,0,25,1,5000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.859481,0,2792623,0,119.917,0,0,0,0,0,4268552,94620.2,7590.6,44.8732,12.0031,28300.3,0.0802218,119.917,3.34343,0,latest,0,3147448,0,1649236,0,0,0
0,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,22.6559,14.2935,63.0506,9.70929,1.97216,0.133795,12044761,36539,36539,1.00692,0.374823,44409.4,887396,2849176,1.93012,48.9173,447966,44409.4,3475467,0.0312042,5,185948,72403.6,3629.8,536.4,154868,0.389375,1.93012,1.20069,0,latest,3,0,97795970,0,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,14.8431,10.4953,74.6616,39.8049,2.40912,0.197485,243214,27557,27557,1.00708,0.7369,780.386,1976684,53400,103.649,29.9239,3211,776.174,0,780.402,4049835,82745,6922.06,53.6633,12.1369,25795.6,0.0836553,103.649,3.20772,0,latest,50018,2082293,0,1324512,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2791098,0,119.919,0,0,0,0,0,4700812,85960.9,6553.66,41.8993,11.0029,25707.8,0.0762399,119.919,3.34377,0,latest,0,2127994,0,1598644,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2779205,0,119.912,0,0,0,0,0,4695968,86036.5,6555.94,41.9974,11.0053,25733.9,0.0761995,119.912,3.34331,0,latest,0,2106342,0,1598956,0,0,0
4,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2788931,0,119.909,0,0,0,0,0,4703947,85896.6,6551.23,41.9313,11.0031,25691.9,0.0762688,119.909,3.34333,0,latest,0,2127518,0,1601000,0,0,0
5,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2793892,0,119.913,0,0,0,0,0,4708337,85893.2,6546.38,41.9292,10.9898,25680.8,0.0762154,119.913,3.34464,0,latest,0,2107754,0,1616626,0,0,0
6,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2791417,0,119.905,0,0,0,0,0,4715159,85754,6549.55,42.0137,11.001,25643.2,0.076376,119.905,3.34412,0,latest,0,2142698,0,1581075,0,0,0
7,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2794612,0,119.907,0,0,0,0,0,4716932,85709.5,6529.83,41.9069,10.9754,25640.5,0.0761856,119.907,3.34274,0,latest,0,2119550,0,1584506,0,0,0
8,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2790070,0,119.925,0,0,0,0,0,4707200,85902.3,6535.72,41.8513,10.9686,25680.9,0.0760832,119.925,3.34498,0,latest,0,2090027,0,1621103,0,0,0
9,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.7369,0,2788861,0,119.903,0,0,0,0,0,4697659,86029.2,6558.22,41.9877,10.9963,25745.6,0.0762324,119.903,3.34151,0,latest,0,2109499,0,1607726,0,0,0
10,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,17.2514,12.6892,70.0595,42.1104,2.43706,0.176524,9724,2781,2781,1.00708,0.669552,32.9673,2749284,1959,119.551,22.7407,56,32.9673,0,32.9673,4651957,86548.8,6774.04,43.1586,11.2524,25874.2,0.0782684,119.551,3.34499,0,latest,2113,2479089,0,1553960,0,0,0
11,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,98.3826,0.505433,1.11195,0.480162,0.45489,0.126358,120,22,22,1.00708,0.670496,0.0156021,2778340,22,119.91,0.555977,1,0.0156021,0,0.0156021,4215284,95776.8,8308.87,47.6933,12.7244,28653.1,0.0867524,119.91,3.34264,0,latest,1,4152413,0,1569326,0,0,0
12,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2782704,0,119.924,0,0,0,0,0,4227596,95540,8287.75,47.6636,12.7097,28569.6,0.0867464,119.924,3.34412,0,latest,0,4120591,0,1601294,0,0,0
13,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2782416,0,119.917,0,0,0,0,0,4223943,95609.8,8297.95,47.7196,12.7245,28591.6,0.0867898,119.917,3.34399,0,latest,0,4129878,0,1598745,0,0,0
14,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2777300,0,119.922,0,0,0,0,0,4222032,95629.2,8288.21,47.5754,12.7021,28608.5,0.0866703,119.922,3.34269,0,latest,0,4102058,0,1603464,0,0,0
15,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2781010,0,119.908,0,0,0,0,0,4206779,95962.9,8317.06,47.7621,12.7337,28697.6,0.0866695,119.908,3.34393,0,latest,0,4121270,0,1594995,0,0,0
16,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2778971,0,119.916,0,0,0,0,0,4224435,95558.6,8286.41,47.7389,12.7219,28590.9,0.0867154,119.916,3.34228,0,latest,0,4131931,0,1571302,0,0,0
17,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2779461,0,119.917,0,0,0,0,0,4211336,95852.8,8304.99,47.7508,12.7216,28672,0.0866431,119.917,3.34308,0,latest,0,4122297,0,1574822,0,0,0
18,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2782130,0,119.916,0,0,0,0,0,4226942,95515.5,8301.55,47.7403,12.739,28578.4,0.0869132,119.916,3.34223,0,latest,0,4150880,0,1591799,0,0,0
19,120,1,1,4,6,10,50,0.75,0,0,25,1,10000,0.1,53.0314,100,0,0,0,0,0,0,0,0,1.00708,0.670496,0,2778514,0,119.916,0,0,0,0,0,4228642,95481.1,8282.78,47.6772,12.7007,28560.4,0.0867479,119.916,3.34313,0,latest,0,4129454,0,1580865,0,0,0
0,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2255873,0,2.59581,0,0,0,3475492,0,353,2667.56,1400.65,64.8669,11.7167,2981.26,0.525068,2.59581,0.894775,0,latest,0,0,687336,0,0,0,0
1,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2776049,0,119.517,0,0,0,0,0,2221739,176173,11129.4,58.9146,12.2593,54176,0.0631732,119.517,3.25187,0,latest,0,2014668,0,691644,0,0,0
2,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2777386,0,119.916,0,0,0,0,0,2076777,194400,11977.9,59.3921,12.3415,58169,0.0616148,119.916,3.34199,0,latest,0,1947195,0,767545,0,0,0
3,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2785729,0,119.925,0,0,0,0,0,2183321,184981,10717.3,58.5249,11.3336,55327.9,0.0579371,119.925,3.34336,0,latest,0,1568893,0,595433,0,0,0
4,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2778560,0,119.906,0,0,0,0,0,2106501,191648,11602.6,58.9104,12.0417,57322.9,0.0605411,119.906,3.3433,0,latest,0,1836963,0,701794,0,0,0
5,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2788530,0,119.921,0,0,0,0,0,2230051,180992,11153,58.3126,12.0038,54111.3,0.0616216,119.921,3.34481,0,latest,0,2020948,0,647478,0,0,0
6,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2786139,0,119.915,0,0,0,0,0,2180168,185130,11567,59.4251,12.4104,55369.7,0.0624803,119.915,3.34352,0,latest,0,2069070,0,767619,0,0,0
7,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2784665,0,119.914,0,0,0,0,0,2183875,184834,11808.4,58.9766,12.38,55276.3,0.0638864,119.914,3.34382,0,latest,0,2211524,0,809492,0,0,0
8,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2789316,0,119.922,0,0,0,0,0,2187541,184514,11925.4,59.2756,12.8182,55199.3,0.0646313,119.922,3.34269,0,latest,0,2364664,0,757432,0,0,0
9,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2780079,0,119.92,0,0,0,0,0,2096443,192566,12247,59.5688,12.9789,57615.1,0.0635987,119.92,3.34229,0,latest,0,2268300,0,796089,0,0,0
10,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2781588,0,119.915,0,0,0,0,0,2148739,187788,11428.3,59.384,12.1297,56149.3,0.0608571,119.915,3.34445,0,latest,0,1822679,0,764498,0,0,0
11,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2769445,0,119.917,0,0,0,0,0,2076775,194446,11052.8,59.845,11.6578,58141.6,0.0568422,119.917,3.34435,0,latest,0,1447347,0,689513,0,0,0
12,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2771089,0,119.914,0,0,0,0,0,2110569,191256,12009.4,59.8008,12.6761,57225.4,0.0627923,119.914,3.34214,0,latest,0,2066299,0,731672,0,0,0
13,120,1,1,4,6,100,50,0.75,0,0,25,1,1000,0.1,53.0318,100,0,0,0,0,0,0,0,0,45.311,0,0,2789912,0,119.907,0,0,0,0,0,2147692,187999,11014.6,59.3823,12.0261,56287.1,0.0585884,119.907,3.34001,0,latest,0,1608168,0,700534,0,0,0
