t,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,31.33,2053134,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,35.39,0.00,0,0.00,0,0,0,-nan,0,0.00,2053135,0.00,198841079
1,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,30.16,1976582,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,37.79,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,119871
2,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,29.05,1904052,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,40.08,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,144321
3,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,28.03,1836704,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,42.20,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,175807
4,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,27.10,1775927,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,44.11,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,217837
5,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,26.29,1723067,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,45.77,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,275860
6,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.62,1678914,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,47.16,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,350962
7,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.10,1644696,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.24,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,440494
8,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,23346
9,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
10,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
11,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
12,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
13,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
14,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
15,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
16,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
17,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
18,integers-rnd,1,1,0,1,1,20,0,6,50.00,20.00,10,0,0,0,0,0,7,14,1,5,1,90.00,0.00,512,4537761823633148385,25.07,1643305,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,48.28,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,1
