t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
0,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16713139114652915542,0,merge,0,0,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120515242,11236
2,16713139114652915542,0,merge,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133259982,3871
3,16713139114652915542,0,merge,0,0,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105864685,29803
4,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,6013,78328,0,85867,0,0,0,0,0,0,515208,0
6,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,21491,85361,0,114192,0,0,0,0,0,0,685147,0
7,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,33356,68110,0,133443,0,0,0,0,0,0,800658,0
8,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,38068,48094,0,181988,0,0,0,0,0,0,1091928,0
9,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,30195,26954,0,290535,0,0,0,0,0,0,1743219,0
10,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,14867,10330,0,414637,0,0,0,0,0,0,2487825,0
11,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,6131,3610,0,484913,0,0,0,0,0,0,2909472,0
12,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,2422,1332,0,503533,0,0,0,0,0,0,3021203,0
13,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,1027,583,0,515936,0,0,0,0,0,0,3095613,0
14,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,507,263,0,522863,0,0,0,0,0,0,3137176,0
15,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,278,135,0,525370,0,0,0,0,0,0,3152224,0
16,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,164,73,0,520489,0,0,0,0,0,0,3122933,0
17,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,93,35,0,527266,0,0,0,0,0,0,3163595,0
18,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,53,21,0,530515,0,0,0,0,0,0,3183091,0
19,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,32,17,0,527499,0,0,0,0,0,0,3164995,0
20,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,21,10,0,524621,0,0,0,0,0,0,3147722,0
21,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,21,13,0,522664,0,0,0,0,0,0,3135983,0
22,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,15,9,0,519728,0,0,0,0,0,0,3118367,0
23,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,16,5,0,525721,0,0,0,0,0,0,3154328,0
24,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,6,3,0,529965,0,0,0,0,0,0,3179795,0
25,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,2,2,0,529996,0,0,0,0,0,0,3179973,0
26,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,1,0,0,526800,0,0,0,0,0,0,3160803,0
27,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,1,0,531522,0,0,0,0,0,0,3189132,0
28,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,9,3,0,519035,0,0,0,0,0,0,3114207,0
29,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,1,1,0,524975,0,0,0,0,0,0,3149848,0
30,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,2,0,0,527965,0,0,0,0,0,0,3167789,0
31,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,2,0,0,530048,0,0,0,0,0,0,3180287,0
32,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,530332,0,0,0,0,0,0,3181996,0
33,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,532826,0,0,0,0,0,0,3196960,0
34,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,525795,0,0,0,0,0,0,3154764,0
35,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,23591,0,0,0,0,0,0,141540,0
0,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14027147587509752595,0,merge,0,0,4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32893071,68095
2,14027147587509752595,0,merge,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32577690,19743
3,14027147587509752595,0,merge,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35359723,11172
4,14027147587509752595,0,merge,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38536933,7921
5,14027147587509752595,0,merge,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38306372,7022
6,14027147587509752595,0,merge,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38304712,5868
7,14027147587509752595,0,merge,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38237155,4355
8,14027147587509752595,0,merge,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37663683,3950
9,14027147587509752595,0,merge,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36565319,3731
10,14027147587509752595,0,merge,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16916125,1659
11,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,18382,10290,0,18452,0,0,0,0,0,0,110718,0
12,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,55877,29248,0,98694,0,0,0,0,0,0,592160,0
13,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,43030,19590,0,246561,0,0,0,0,0,0,1479384,0
14,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,17013,6709,0,429124,0,0,0,0,0,0,2574741,0
15,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,4759,1729,0,503651,0,0,0,0,0,0,3021903,0
16,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,1573,567,0,532180,0,0,0,0,0,0,3193079,0
17,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,705,235,0,535066,0,0,0,0,0,0,3210402,0
18,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,324,123,0,535083,0,0,0,0,0,0,3210495,0
19,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,174,55,0,538853,0,0,0,0,0,0,3233122,0
20,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,74,22,0,539307,0,0,0,0,0,0,3235835,0
21,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,48,21,0,531250,0,0,0,0,0,0,3187495,0
22,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,40,12,0,538695,0,0,0,0,0,0,3232176,0
23,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,19,7,0,537436,0,0,0,0,0,0,3224616,0
24,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,11,3,0,537175,0,0,0,0,0,0,3223054,0
25,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,0,0,537491,0,0,0,0,0,0,3224948,0
26,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,6,3,0,539937,0,0,0,0,0,0,3239626,0
27,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,537126,0,0,0,0,0,0,3222746,0
28,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,2,0,541063,0,0,0,0,0,0,3246380,0
29,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,0,0,540947,0,0,0,0,0,0,3245679,0
30,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,0,0,538868,0,0,0,0,0,0,3233215,0
31,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,4,2,0,538030,0,0,0,0,0,0,3228174,0
32,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,1,1,0,537335,0,0,0,0,0,0,3224004,0
33,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,1,0,537265,0,0,0,0,0,0,3223599,0
34,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,1,0,536600,0,0,0,0,0,0,3219596,0
35,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,1,0,540214,0,0,0,0,0,0,3241291,0
36,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,1,0,540157,0,0,0,0,0,0,3240934,0
37,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,540882,0,0,0,0,0,0,3245300,0
38,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,544060,0,0,0,0,0,0,3264353,0
39,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,537482,0,0,0,0,0,0,3224893,0
40,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,541418,0,0,0,0,0,0,3248512,0
41,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,318470,0,0,0,0,0,0,1910804,0
0,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4954205518123341369,0,merge,0,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120914177,25992
2,4954205518123341369,0,merge,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129947494,9362
3,4954205518123341369,0,merge,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152210625,6695
4,4954205518123341369,0,merge,0,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151937531,13238
5,4954205518123341369,0,merge,0,0,13898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117109861,55185
6,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
7,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,18360,66178,0,76646,0,0,0,0,0,0,459876,0
8,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,34196,72316,0,108434,0,0,0,0,0,0,650604,0
9,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,41580,60314,0,134964,0,0,0,0,0,0,809784,0
10,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,42020,46438,0,189010,0,0,0,0,0,0,1134060,0
11,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,34833,30533,0,300156,0,0,0,0,0,0,1800954,0
12,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,20473,14694,0,467102,0,0,0,0,0,0,2802605,0
13,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,8396,5399,0,591641,0,0,0,0,0,0,3549851,0
14,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,3091,1886,0,642506,0,0,0,0,0,0,3855031,0
15,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,1130,715,0,670626,0,0,0,0,0,0,4023751,0
16,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,467,259,0,679286,0,0,0,0,0,0,4075725,0
17,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,188,112,0,679366,0,0,0,0,0,0,4076197,0
18,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,90,42,0,682218,0,0,0,0,0,0,4093303,0
19,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,49,28,0,677364,0,0,0,0,0,0,4064191,0
20,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,14,7,0,673205,0,0,0,0,0,0,4039229,0
21,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,6,3,0,673981,0,0,0,0,0,0,4043881,0
22,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,6,2,0,682700,0,0,0,0,0,0,4096210,0
23,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,2,1,0,685633,0,0,0,0,0,0,4113793,0
24,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,681729,0,0,0,0,0,0,4090369,0
25,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,5,1,0,681486,0,0,0,0,0,0,4088932,0
26,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,5,2,0,674227,0,0,0,0,0,0,4045355,0
27,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,1,1,0,678636,0,0,0,0,0,0,4071818,0
28,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,684519,0,0,0,0,0,0,4107098,0
29,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,678046,0,0,0,0,0,0,4068287,0
30,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,675959,0,0,0,0,0,0,4055742,0
31,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,679530,0,0,0,0,0,0,4077208,0
32,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,669588,0,0,0,0,0,0,4017510,0
33,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,682530,0,0,0,0,0,0,4095181,0
34,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,682775,0,0,0,0,0,0,4096656,0
35,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,682586,0,0,0,0,0,0,4095513,0
36,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,682106,0,0,0,0,0,0,4092633,0
37,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,28490,0,0,0,0,0,0,170923,0
0,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5949237985316970058,0,merge,0,0,6433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38290447,93730
2,5949237985316970058,0,merge,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41426308,28211
3,5949237985316970058,0,merge,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39846534,16065
4,5949237985316970058,0,merge,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39697799,10773
5,5949237985316970058,0,merge,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38778593,9237
6,5949237985316970058,0,merge,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37730094,7213
7,5949237985316970058,0,merge,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38341137,5782
8,5949237985316970058,0,merge,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41486532,4810
9,5949237985316970058,0,merge,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46308282,5933
10,5949237985316970058,0,merge,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45675798,4563
11,5949237985316970058,0,merge,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45561033,3809
12,5949237985316970058,0,merge,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44812733,3194
13,5949237985316970058,0,merge,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45187542,2918
14,5949237985316970058,0,merge,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45900480,2792
15,5949237985316970058,0,merge,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46152587,2381
16,5949237985316970058,0,merge,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16050910,789
17,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,21091,12971,0,19773,0,0,0,0,0,0,118640,0
18,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,59833,35771,0,76837,0,0,0,0,0,0,461022,0
19,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,59381,33019,0,142825,0,0,0,0,0,0,856956,0
20,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,44117,22368,0,281983,0,0,0,0,0,0,1691892,0
21,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,19812,9204,0,490713,0,0,0,0,0,0,2944300,0
22,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,6025,2610,0,611972,0,0,0,0,0,0,3671833,0
23,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,1876,805,0,646055,0,0,0,0,0,0,3876331,0
24,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,626,274,0,650855,0,0,0,0,0,0,3905120,0
25,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,233,106,0,663472,0,0,0,0,0,0,3980836,0
26,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,128,50,0,667900,0,0,0,0,0,0,4007394,0
27,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,58,25,0,664951,0,0,0,0,0,0,3989717,0
28,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,13,5,0,666472,0,0,0,0,0,0,3998826,0
29,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,11,4,0,664921,0,0,0,0,0,0,3989526,0
30,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,18,4,0,660027,0,0,0,0,0,0,3960162,0
31,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,4,2,0,664235,0,0,0,0,0,0,3985417,0
32,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,5,3,0,666412,0,0,0,0,0,0,3998468,0
33,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,3,1,0,666171,0,0,0,0,0,0,3997020,0
34,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,2,1,0,671267,0,0,0,0,0,0,4027600,0
35,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,1,1,0,666541,0,0,0,0,0,0,3999254,0
36,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,659020,0,0,0,0,0,0,3954115,0
37,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,662190,0,0,0,0,0,0,3973145,0
38,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,666066,0,0,0,0,0,0,3996390,0
39,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,669229,0,0,0,0,0,0,4015382,0
40,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,663110,0,0,0,0,0,0,3978655,0
41,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,664172,0,0,0,0,0,0,3985025,0
42,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,658447,0,0,0,0,0,0,3950690,0
43,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,666486,0,0,0,0,0,0,3998903,0
44,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,669975,0,0,0,0,0,0,4019863,0
45,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,665766,0,0,0,0,0,0,3994594,0
46,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,665730,0,0,0,0,0,0,3994378,0
47,5949237985316970058,0,merge,0,0,0,0,0,0,0,0,0,0,0,379760,0,0,0,0,0,0,2278546,0
0,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8725824349430506241,0,merge,0,0,7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63307857,31903
2,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,13798,19846,0,36710,0,0,0,0,0,0,183552,0
3,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,13278,9486,0,620540,0,0,0,0,0,0,3102708,0
4,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,8,1,0,795724,0,0,0,0,0,0,3978631,0
5,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,795894,0,0,0,0,0,0,3979462,0
6,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,781472,0,0,0,0,0,0,3907358,0
7,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,1,1,0,798434,0,0,0,0,0,0,3992180,0
8,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,796149,0,0,0,0,0,0,3980745,0
9,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,796347,0,0,0,0,0,0,3981725,0
10,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,794106,0,0,0,0,0,0,3970536,0
11,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,792549,0,0,0,0,0,0,3962747,0
12,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,778269,0,0,0,0,0,0,3891343,0
13,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,789387,0,0,0,0,0,0,3946932,0
14,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,790644,0,0,0,0,0,0,3953222,0
15,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,788707,0,0,0,0,0,0,3943541,0
16,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,791727,0,0,0,0,0,0,3958624,0
17,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,794557,0,0,0,0,0,0,3972792,0
18,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,780155,0,0,0,0,0,0,3900764,0
19,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,791368,0,0,0,0,0,0,3956854,0
20,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,794563,0,0,0,0,0,0,3972813,0
21,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,792014,0,0,0,0,0,0,3960058,0
22,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,786404,0,0,0,0,0,0,3932030,0
23,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,790732,0,0,0,0,0,0,3953660,0
24,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,777835,0,0,0,0,0,0,3889180,0
25,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,789390,0,0,0,0,0,0,3946945,0
26,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,796115,0,0,0,0,0,0,3980568,0
27,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,789395,0,0,0,0,0,0,3946976,0
28,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,793709,0,0,0,0,0,0,3968545,0
29,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,796333,0,0,0,0,0,0,3981659,0
30,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,777143,0,0,0,0,0,0,3885719,0
31,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,796011,0,0,0,0,0,0,3980057,0
32,8725824349430506241,0,merge,0,0,0,0,0,0,0,0,0,0,0,484752,0,0,0,0,0,0,2423751,0
0,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9056254927689675874,0,merge,0,0,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32909295,86812
2,9056254927689675874,0,merge,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30190663,23485
3,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,3680,2295,0,4076,0,0,0,0,0,0,20382,0
4,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,20803,10668,0,545387,0,0,0,0,0,0,2726953,0
5,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,13,6,0,791308,0,0,0,0,0,0,3956531,0
6,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,791551,0,0,0,0,0,0,3957759,0
7,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,790603,0,0,0,0,0,0,3953021,0
8,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,771307,0,0,0,0,0,0,3856535,0
9,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,787878,0,0,0,0,0,0,3939395,0
10,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,791453,0,0,0,0,0,0,3957256,0
11,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,792463,0,0,0,0,0,0,3962314,0
12,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,796170,0,0,0,0,0,0,3980845,0
13,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,797619,0,0,0,0,0,0,3988098,0
14,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,780125,0,0,0,0,0,0,3900621,0
15,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,801534,0,0,0,0,0,0,4007678,0
16,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,796814,0,0,0,0,0,0,3984068,0
17,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,797846,0,0,0,0,0,0,3989240,0
18,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,785346,0,0,0,0,0,0,3926731,0
19,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,790678,0,0,0,0,0,0,3953378,0
20,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,787109,0,0,0,0,0,0,3935552,0
21,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,795469,0,0,0,0,0,0,3977343,0
22,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,794643,0,0,0,0,0,0,3973209,0
23,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,794279,0,0,0,0,0,0,3971397,0
24,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,794951,0,0,0,0,0,0,3974766,0
25,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,800554,0,0,0,0,0,0,4002755,0
26,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,780107,0,0,0,0,0,0,3900543,0
27,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,793928,0,0,0,0,0,0,3969637,0
28,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,796084,0,0,0,0,0,0,3980423,0
29,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,794638,0,0,0,0,0,0,3973190,0
30,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,799351,0,0,0,0,0,0,3996757,0
31,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,792648,0,0,0,0,0,0,3963234,0
32,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,779861,0,0,0,0,0,0,3899295,0
33,9056254927689675874,0,merge,0,0,0,0,0,0,0,0,0,0,0,689173,0,0,0,0,0,0,3445861,0
